system:index,lat,lon,.geo
464,37.548759360873355,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
465,37.55375936087336,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
466,37.55875936087336,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
467,37.563759360873355,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
468,37.56875936087336,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
469,37.57375936087336,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
470,37.578759360873356,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
471,37.58375936087336,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
472,37.588759360873354,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
473,37.59375936087336,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
474,37.59875936087336,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
518,37.54375936087336,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
519,37.548759360873355,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
520,37.55375936087336,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
521,37.55875936087336,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
522,37.563759360873355,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
523,37.56875936087336,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
524,37.57375936087336,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
525,37.578759360873356,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
526,37.58375936087336,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
527,37.588759360873354,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
528,37.59375936087336,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
529,37.59875936087336,126.80983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
563,37.493759360873355,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
573,37.54375936087336,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
574,37.548759360873355,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
575,37.55375936087336,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
576,37.55875936087336,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
577,37.563759360873355,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
578,37.56875936087336,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
579,37.57375936087336,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
580,37.578759360873356,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
581,37.58375936087336,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
582,37.588759360873354,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
583,37.59375936087336,126.81483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
615,37.478759360873354,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
616,37.48375936087336,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
618,37.493759360873355,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
619,37.49875936087336,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
628,37.54375936087336,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
629,37.548759360873355,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
630,37.55375936087336,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
631,37.55875936087336,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
632,37.563759360873355,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
633,37.56875936087336,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
634,37.57375936087336,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
635,37.578759360873356,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
636,37.58375936087336,126.81983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
